Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2004,Highwaymen,American,Robert Harmon,"Jim Caviezel, Rhona Mitra, Colm Feore",action,https://en.wikipedia.org/wiki/Highwaymen_(film),"A man known only as Rennie (Jim Caviezel) is motivated by revenge to track down and kill the man who ran over his wife, a serial killer (Colm Feore) immobilized by the man himself. The killer uses a wheelchair. He drives a 1972 Cadillac Eldorado to stalk and kill his victims in car accidents. When the serial killer makes a young woman (Rhona Mitra) his next target, the man has to stop the killer once and for all."
2008,High School Musical 3: Senior Year,American,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Corbin Bleu","musical, family",https://en.wikipedia.org/wiki/High_School_Musical_3:_Senior_Year,"The film opens with Troy Bolton and the rest of the East High Wildcats basketball team trailing behind the West High Knights in the Championship and final game of the season. At the half, Troy rallies his team with, ""Now or Never"", and with an assist from a new freshman team member, Jimmie ""Rocket-man"" Zara, the Wildcats win the Championship. Later that night at the post-game party, held at Troy's house, Troy and Gabriella are sitting in Troy's old treehouse discussing their unknown future and the short time they have left at East High. (""Right Here, Right Now"")
Sharpay hires a personal assistant, a British exchange student named Tiara Gold, to help relieve the stress of senior year. Drama teacher Ms. Darbus, notices the lack of sign-ups and Sharpay suggests a one- woman show. The writer and pianist of the show Kelsi, signs everyone in homeroom up at the displease of the rest of the class. Ms. Darbus announces that the show will be called ""Senior Year"" and will focus on the future of the graduating seniors. In addition, she reveals that Sharpay, Ryan, Kelsi, and Troy have all been considered for a scholarship at Juilliard School, but only one of them is to be chosen. Troy is confused because he did not apply to Juilliard. Seeing his friends laughing, he believes they gave his name to Juilliard. Sharpay becomes desperate to win the scholarship, and knowing that Kelsi will give the best songs to Troy and Gabriella in the musical, she gets Ryan to try to persuade Kelsi to give them a song, by predicting her (and Ryan's) future (""I Want It All"").
The very next day, Troy asks Gabriella to the dance while on the rooftop (seen previously in the first film as The Garden Club, a place where Troy goes seeking some quiet). She then teaches him how to waltz (""Can I Have This Dance?""). After that, Troy and Chad steal Jimmie and Donnie's clothes while they are showering, thus leading through a big chase through the halls of East High and into the auditorium and Ms. Darbus forced them to volunteer as understudies, and gives all 4 of them detention. Chad then asks Taylor to go to prom with him with a cheesy pick-up line. She initially refuses, but later relents when Chad proves he can put in some effort and asks again in front of everyone in school during lunch. The group rehearses for the musical, a scene about their prom night (""A Night to Remember""). The next day, Ryan walks in on Kelsi composing in the music room and they start to sing (""Just Wanna Be with You"") which leads to Ryan asking Kelsi to prom. While Troy and Chad reminisce about their past in Reilly's Auto Parts (""The Boys Are Back""). Tiara overhears Gabriella and Taylor's conversation about the Stanford Freshman's Honors Program and informs Sharpay about it, while Sharpay convinces Troy that he is the only thing keeping Gabriella from her dream. Troy talks to Gabriella about this and after sharing an awkward goodnight, Gabriella sings (""Walk Away"") and leaves for college the next day.
Troy's father, Jack, talks to him about his academic future, which he expects will be in the University of Albuquerque. This assumption makes Troy become angry and confused about which college he is going to, and he runs away, storming around East High bewildered until he finally screams at the top of his lungs in the theater (""Scream""). Ms. Darbus is secretly watching and reveals that she sent in his application for Juilliard. Troy later gets a call from Gabriella saying that although she loves him, she will not return to Albuquerque for prom or graduation. However, on the day of the prom, Troy visits Gabriella at Stanford University and convinces her to return and they kiss during the lunch break (""Can I Have This Dance? (Reprise)""). Back at East High, Sharpay is prepared for the last musical at East High and Troy's fellow basketball player Jimmie receives a text from Troy to tell him to cover for him onstage because he is going to be late. The Juilliard representatives are there, and watch as the show seems to go well.
Kelsi and Ryan start out the show followed by a couple other numbers; Jimmie then performs with Sharpay, both as understudies for Troy and Gabriella, and embarrasses her, although the audience applauds the performance. Troy and Gabriella appear during the second half of the show and sing their duet together, redoing Jimmie and Sharpay's understudied reprise. Tiara then betrays Sharpay and tells her how she is going to take over next year in the drama department. Sharpay finally learns how it feels to be manipulated and humiliated, but nevertheless does not wish to go down. While Tiara performs, Sharpay immediately crashes her performance and upstages her (""Senior Year Spring Musical"").
At the end of the musical, Ms. Darbus reveals that both Kelsi and Ryan have won the Juilliard scholarship and tells about everyone's future plans, in which Troy reveals he's chosen University of California, Berkeley so he can be close to Gabriella where he can play basketball and perform in theater. Taylor reveals that she will be attending Yale University with honors to study Political Science, and Sharpay and Chad revealed they would attend the University of Albuquerque, to study Performing Arts and for basketball, respectively. (""We're All in This Together"").
At the graduation ceremony, Troy gives the class speech after being selected by Ms. Darbus. Throwing their caps in the air, the graduates form a giant ""wildcat"" before breaking out into song and dance (""High School Musical""). As the film ends, the graduates run across the field, the curtain falls, and they appear on the East High stage. The main cast performs the song, ""High School Musical"", before jumping and bowing when the curtain falls."
2004,Million Dollar Baby,American,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Anthony Mackie",drama,https://en.wikipedia.org/wiki/Million_Dollar_Baby,"Margaret ""Maggie"" Fitzgerald, a waitress from a Missouri town in the Ozarks, shows up in the Hit Pit, a run-down Los Angeles gym owned and operated by Frankie Dunn, an old, cantankerous boxing trainer. Maggie asks Frankie to train her, but he initially refuses. Maggie works out tirelessly each day in his gym, even after Frankie tells her she's ""too old"" to begin a boxing career at her age. Eddie ""Scrap-Iron"" Dupris, Frankie's friend and employee—and the film's narrator—encourages and helps her.
Frankie's prize prospect, ""Big"" Willie Little, signs with successful manager Mickey Mack after becoming impatient with Frankie rejecting offers for a championship bout. With prodding from Scrap and impressed with her persistence, Frankie reluctantly agrees to train Maggie. He warns her that he will teach her only the basics and then find her a manager. Other than Maggie and his employees, the only person Frankie has contact with is a local priest, with whom he spars verbally at daily Mass.
Before her first fight, Frankie leaves Maggie with a random manager in his gym, much to her dismay; upon being told by Scrap that said manager deliberately put her up against his best girl (coaching the novice to lose) to give her an easy win, Frankie rejoins Maggie in the middle of the bout and coaches her instead to an unforeseen victory. A natural, she fights her way up in the women's amateur boxing division with Frankie's coaching, winning many of her lightweight bouts with first-round knockouts. Earning a reputation for her KOs, Frankie must resort to bribery to get other managers to put their trainee fighters up against her.
Eventually, Frankie takes a risk by putting her in the junior welterweight class, where her nose is broken in her first match. Frankie comes to establish a paternal bond with Maggie, who substitutes for his estranged daughter. Scrap, concerned when Frankie rejects several offers for big fights, arranges a meeting for her with Mickey Mack at a diner on her 33rd birthday. Out of loyalty, she declines. Frankie begrudgingly accepts a fight for her against a top-ranked opponent in the UK, where he bestows a Gaelic nickname on her. The two travel to Europe as she continues to win; Maggie eventually saves up enough of her winnings to buy her mother a house, but she berates Maggie for endangering her government aid, claiming that everyone back home is laughing at her.
Frankie is finally willing to arrange a title fight. He secures Maggie a $1 million match in Las Vegas, Nevada against the WBA women's welterweight champion, Billie ""The Blue Bear"" Osterman, a German ex-prostitute who has a reputation as a dirty fighter. Overcoming a shaky start, Maggie begins to dominate the fight, but after a round has ended, Billie knocks her out with an illegal sucker punch from behind after the bell has sounded to indicate the end of the round. Before Frankie can pull the corner stool out of the way which was inappropriately placed on its side by Frankie's assistant, Maggie lands hard on it, breaking her neck and leaving her a ventilator-dependent quadriplegic.
Frankie is shown experiencing the first three of the five stages of grief: first seeking multiple doctors' opinions in denial, then blaming Scrap in anger and later trying to bargain with God through prayer.
In a medical rehabilitation facility, Maggie looks forward to a visit from her family, but they arrive accompanied by an attorney and only after having first visited Disneyland and Universal Studios Hollywood; their only concern is to transfer Maggie's assets to them. She orders them to leave, threatening to sell the house and inform the IRS of her mother's welfare fraud if they ever show their faces again.
As the days pass, Maggie develops bedsores and undergoes an amputation for an infected leg. She asks a favor of Frankie: to help her die, declaring that she got everything she wanted out of life. A horrified Frankie refuses, and Maggie later bites her tongue repeatedly in an attempt to bleed to death, but the medical staff saves her and takes measures to prevent further suicide attempts. The priest Frankie has harassed for 23 years, Father Horvak, warns him that he would never find himself again if he were to go through with Maggie's wishes.
Frankie sneaks in one night, unaware that Scrap is watching from the shadows. Just before administering a fatal injection of adrenaline, he finally tells Maggie the meaning of a nickname he gave her, Mo Chuisle (spelled incorrectly in the film as ""mo cuishle""): Irish for ""my darling, and my blood"" (literally, ""my pulse""). He never returns to the gym. Scrap's narration is revealed to be a letter to Frankie's daughter, informing her of her father's true character. The last shot of the film shows Frankie sitting at the counter of a diner where Maggie once took him, and after having a homemade lemon meringue pie with her, said ""Now I can die and go to heaven""."
2016,13 Hours: The Secret Soldiers of Benghazi,American,Michael Bay,"James Badge Dale
John Krasinski
Max Martini",action,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,"In 2012, Benghazi, Libya is named one of the most dangerous places in the world, and countries have pulled their diplomatic offices out of the country in fear of an attack by militants. The United States, however, still has a diplomatic compound (not an official consulate) open in the city. Less than a mile away is a CIA outpost called ""The Annex"", which is protected by a team of private military contractors from Global Response Staff (GRS). New to the detail is Jack Silva, who arrives in Benghazi and is picked up by Tyrone ""Rone"" Woods, commander of the GRS team and a personal friend of Silva. Arriving at the Annex, Silva is introduced to the rest of the GRS team and the CIA Chief of Station, who constantly gives the team strict reminders to never engage the citizens.
The U.S. Ambassador Chris Stevens arrives in Benghazi to maintain diplomatic connections amidst the political and social chaos. Despite warnings, Stevens decides to stay at the Special Mission with limited protection from a pair of Diplomatic Security (DS) agents, Scott Wickland and Dave Ubben, and guards hired from the local February 17th Martyrs Brigade militia, nicknamed ""17-Feb"". On the morning of the eleventh anniversary of the September 11 attacks, Stevens notices suspicious men taking pictures of the compound and notifies his security detail. Back at the Annex, Silva finds out that his wife is pregnant.
That night, a group of militants from Ansar al-Sharia assault the compound. The 17-Feb guards quickly surrender their posts, allowing the attackers easy access to the Special Mission compound. Wickland takes Stevens and Smith, an IT specialist, into the safe room. Unable to breach the safe room, the attackers set the building on fire hoping to burn the men out. Wickland is able to escape but loses both Stevens and Smith. At the Annex, the GRS team desperately wants to go to the compound to help, but the Chief refuses, fearing that the team's departure would expose the Annex. However, the team dispatches to the compound and meets up with the DS agents. Silva and Woods go into the building to try to find Stevens and Smith, but are only able to find Smith's body. The DS team from the compound retreats to the Annex; but after Wickland goes in the wrong direction, they are followed back to the Annex. Later, the GRS team also retreats to the Annex.
Knowing an attack by the militants is imminent, the CIA staff of the Annex makes several desperate calls for help. The only help they can get is from Glen ""Bud"" Doherty, a GRS officer in Tripoli, who forms a team including two Delta operators that fly to Benghazi after several delays. Meanwhile, the GRS team fends off the militants as they try to breach the Annex perimeter. After repelling the largest attack wave, the Annex receives word from ISR that help is en route.
The Tripoli GRS reinforcements arrive and begin preparing the CIA and DS staff to depart for the airport. The militants launch a mortar attack in which Ubben and Geist are wounded; Geist's left arm is partially severed. Woods rushes to aid Geist and is killed by another mortar round. Doherty is also killed when a third mortar detonates directly in front of him.
With the GRS team compromised, and the Annex now vulnerable, the remaining GRS operators watch as a convoy of vehicles rolls toward the Annex. Fearing the worst, the operators prepare to make a final stand, until it is revealed that the convoy is an element of the Libya Shield Force militia escorting the GRS reinforcements. They also find out that Stevens was found behind the compound, but was pronounced dead at the hospital.
At the airport, the CIA staff and the wounded Geist board the plane to Tripoli while the remainder of the GRS team waits for the next plane with the bodies of Stevens, Smith, Woods and Doherty. Closing titles reveal that all of the surviving members of the Annex security team received contractor medals in a private ceremony and have since retired from the GRS team and live with their families (Geist was able to save his arm after several surgeries)."
2001,Black Knight,American,Gil Junger,Martin Lawrence,comedy,https://en.wikipedia.org/wiki/Black_Knight_(film),"Jamal Walker (Martin Lawrence) is an everyday slacker with a job at a crummy theme park called Medieval World, which is about to receive big competition from another theme park, Castle World. While cleaning a moat surrounding the park, he finds a medallion in the moat and when he tries to retrieve it he gets sucked into the past. He awakes in 18th century England, 1728, where he is first met by a drunkard named Knolte (Tom Wilkinson). He then searches for Medieval World, but he finds a castle that he thinks is Castle World, so he decides to check it out. The tenants of the castle believe him to be a French Moor, from Normandy, because he tells them he is from Florence and Normandie, a famous intersection in South Central Los Angeles.
Jamal is soon taken in by the reigning king, King Leo (Kevin Conway). He is assumed to be a messenger from Normandy who the king believes to be bringing news of an alliance between England and Normandy. Although at first Jamal thinks that all the people around him are just actors in a theme park he changes his mind when he witnesses a beheading. He gives his name as Jamal ""Sky"" Walker after his high school basketball nickname, and, after gaining trust from the king by accidentally preventing his assassination, Jamal is made a lord and head of security. While all of this is going on, Jamal finds out about the ruthless way the king came to power by overthrowing the former queen. He learns from Victoria (Marsha Thomason), a chambermaid, and Sir Knolte, who was a former knight of the queen. Through their help and his own realization of the situation, Jamal soon understands he must help overthrow King Leo and help restore the queen to her throne.
With some effort, Jamal manages to convince the decimated rebels and townsfolk to band together to overthrow the king. Using modern-day tactics used in American football and pro wrestling, he gives the peasants the means to fight the armed and armored king's guards. Out of gratitude for helping him find his honor again, Knolte teaches some basic sword-fighting maneuvers to Jamal, and also tells him that he has an idea that may give them an advantage in the upcoming battle.
The next day, Knolte and the rebels storm the castle, only to find themselves quickly surrounded by guards and Leo's bodyguard, Percival (Vincent Regan). The tide turns briefly when the legendary Black Knight charges in, breathing fire and scattering the guards, but the plan goes awry when he falls from his horse and is revealed to be Jamal in disguise. Using their newfound skills, the peasants succeed in overpowering the guards, but Knolte is severely wounded by a longbow shot from Percival, who takes Victoria hostage. King Leo is scared since his troops are being defeated, and asks Percival for safety. Percival, who already sees Leo as pathetic and weak as a leader, kills him and throws him in the moat. Charging to the rescue, Jamal surprises Percival with his fighting skills, rescuing Victoria. Percival is then shot dead by Knolte before he could administer a killing blow to Jamal.
After the Queen's reign is restored, Jamal is knighted by her. During the dubbing, he awakes back at Medieval World surrounded by his co-workers and a medical team, who saved him from drowning in the moat. After being saved Jamal's whole attitude changes, and he helps his boss to make Medieval World better so that Castle World will not run them out of business. Later on, Jamal takes a walk around the new Medieval World and meets a woman named Nicole (Thomason) who looks just like Victoria. They talk a little and he asks her out to lunch. Unfortunately, Jamal forgets to get Nicole's number, and when he tries to catch up to her, he accidentally falls back into the moat, waking up in the Colosseum of Ancient Rome, where he is about to be devoured by lions."
2004,Win a Date with Tad Hamilton!,American,Robert Luketic,"Kate Bosworth, Topher Grace, Josh Duhamel",comedy,https://en.wikipedia.org/wiki/Win_a_Date_with_Tad_Hamilton!,"The film opens with a soldier and nurse getting out of two 1940-style cars in the middle of night. The nurse runs up to the soldier and the camera switches to reveal this to be a scene from a film. Three Piggly Wiggly store workers in Fraziers Bottom, West Virginia—Rosalee, Cathy, and Pete—are watching and as the nurse on screen asks for forgiveness and the soldier agrees, the women in the audience are moved to tears as Pete is clearly unimpressed. As the ladies wonder what Tad Hamilton—the star of the film—is doing at that moment, their prediction of praying is proven false as the scene cuts to Tad—described in the next scene by his agent—""drinking, driving, smoking, leering, and groping all at the same time"".
Tad's agent tells him that his hedonistic lifestyle is damaging his reputation and career opportunities. In order to improve his image and convince a director to cast him in an upcoming film, his agents establish a competition to win a date with Tad with proceeds going towards the charity Save the Children. An online advertisement for the competition is found by Rosalee. With the help of the Piggly Wiggly customers and the reluctant agreement of Pete, Cathy and Rosalee raise the $100 entrance money as Pete reveals to his superior that he will leave for Richmond to go to college after he has a discussion ""with someone about going to Richmond with me"".
A news crew arrives outside Rosalee's house, signalling her success at winning a date with Tad Hamilton. Subsequently, a despondent Pete sees her off at the airport. Rosalee is awed by Los Angeles and becomes tongue-tied in Tad's presence; the date does not go well as Rosalee vomits in the limousine and Tad mentioning his love of animals—which Pete had warned was a signal of sexual intentions—rouses her suspicions. After seeing Tad's house, Rosalee requests to go back to the hotel and soon returns home, leaving Tad thoughtful.
As Pete is about to tell Rosalee about moving to Richmond she is surprised—as much as Pete is disappointed—by Tad's sudden arrival to rekindle their relationship. Though Rosalee is still cynical of him as he uses a line from one of his films, his admission of not having ""his priorities straight"" seems to convince her of his good intentions. During a phone call with his agent, Tad insists that he wants to turn over a new leaf, and will not return to Los Angeles for a while. When he picks Rosalee up for a date he leaves a good impression on Rosalee's father, who had studied hard for the encounter. Pete tries to stop their date by reporting the pair for illegally parking. He tries to convince Rosalee that Tad is just using her. Despite all his efforts, Rosalee and Tad grow close over the next few days.
In the bar, Pete corners Tad in a men's room stall. After conceding that Rosalee is in love with Tad, Pete tells Tad that Rosalee is more than a ""wholesome small town girl"", Rosalee is a wonderful person with ""the kind of beauty a guy only sees once"". He explains about her six smiles: one smile when something makes her laugh, one for polite laughter, one for when she makes plans, one when she makes fun of herself, one when she's uncomfortable, and one when she's talking about her friends. Pete makes Tad swear not to break her heart or he will tear Tad to pieces with his bare hands or ""vicious rhetoric"". When the pair is in Tad's hotel room, his agents appear and inform him that the director has decided to cast him in the film after all. Tad is overjoyed and convinces Rosalee to come to Los Angeles with him by using Pete's ""six smiles"" speech.
After a rousing speech about great love from Angelica, a barmaid with a crush on him, Pete rushes to Rosalee's house and confesses his love for her but she is confused and resolves to still go to LA with Tad. On the plane when Tad fails to identify one of Rosalee's smiles, he confesses his lie and she asks to go home. She runs to Piggly Wiggly and Pete's house, then drives furiously towards Richmond to overtake her heartbroken friend. Similar to the opening scene, Rosalee and Pete get out of their cars and Pete, surrendering to a romantic song on the car radio, asks her to dance."
2017,The Fate of the Furious,American,F. Gary Gray,"F. Gary Gray (director); Chris Morgan (screenplay); Vin Diesel, Dwayne Johnson, Michelle Rodriguez, Kurt Russell, Charlize Theron, Jason Statham, Helen Mirren, Tyrese Gibson, Chris Bridges, Elsa Pataky, Nathalie Emmanuel, Scott Eastwood, Kristofer Hivju","action, adventure",https://en.wikipedia.org/wiki/The_Fate_of_the_Furious,"Dominic ""Dom"" Toretto and Letty Ortiz are on their honeymoon in Havana when Dom's cousin Fernando gets in trouble owing money to local racer Raldo. Sensing Raldo is a loan shark, Dom challenges Raldo to a race, pitting Fernando's reworked car against Raldo's, and wagering his own show car. After narrowly winning the race, Dom allows Raldo to keep his car, earning his respect, and instead leaves his cousin with his show car.
The next day, Dom is approached by the elusive cyberterrorist Cipher who coerces him into working for her. Shortly afterwards, Dom and his team, comprising Letty, Roman Pearce, Tej Parker, and Ramsey, are recruited by Diplomatic Security Service (DSS) agent Luke Hobbs to help him retrieve an EMP device from a military outpost in Berlin. During the getaway, Dom goes rogue, forcing Hobbs off the road and stealing the device for Cipher. Hobbs is arrested and locked up in the same high-security prison he helped imprison Deckard Shaw in. After escaping, Deckard and Hobbs are recruited by intelligence operative Mr. Nobody and his protégé to help the team find Dom and capture Cipher. Deckard reveals that Cipher had hired his brother Owen Shaw to steal the Nightshade device and Mose Jakande to steal God's Eye, Ramsey's software program. The team tracks Dom and Cipher to their very location just as the latter two attack the base and steal God's Eye. When Dom questions Cipher's motives, she reveals that she has been holding hostage Dom's ex-lover and DSS agent Elena Neves—as well as their son, of whose existence Dom was previously unaware. Elena tells Dom that she wanted him to decide the child's first name, having already given him the middle name Marcos.
In New York City, Cipher sends Dom to retrieve a nuclear football held by the Russian Minister of Defence. Prior to the theft, Dom briefly evades Cipher and persuades Deckard and Owen's mother, Magdalene Shaw, to help him. Cipher hacks into the electronics systems of a large number of cars, causing them to drive automatically and taking out the convoy so that Dom can take the football. The team intercepts Dom, but Dom escapes, shooting and apparently killing Deckard in the process. Letty catches up to Dom, but is ambushed and nearly killed by Cipher's enforcer, Connor Rhodes, before Dom rescues her. In retaliation, Cipher has Rhodes execute Elena in front of Dom.
Dom infiltrates a base in Russia to use the EMP device to disable their security and then to disable a nuclear submarine, enabling Cipher to hijack it and attempt to use its arsenal to trigger a nuclear war. They are once again intercepted by the team, who attempt to shut down the sub, and then drive out toward the gates that would prevent the sub from leaving into open waters. Meanwhile, Deckard, whose death was apparently faked, teams up with Owen, and under Magdalene's behest, infiltrates Cipher's plane to rescue Dom's son. Once Deckard reports that the child is safe, Dom turns on Cipher and kills Rhodes, avenging Elena's death, before rejoining his team. Outraged, Cipher fires an infrared homing missile at Dom, but he breaks away from his team and maneuvers around it, causing the missile to hit the submarine instead. The team quickly forms a vehicular blockade around Dom, shielding him from the ensuing explosion. When Deckard reaches the front of the plane and confronts a defeated Cipher, she makes her escape by parachuting out of the plane.
Mr. Nobody and his protégé visit Dom and his team in New York City to report that Cipher is still at large in Athens. Hobbs is offered his DSS job back, but he declines in order to spend more time with his daughter. Deckard delivers Dom his son, putting his differences aside with Dom and Hobbs. Dom names his son Brian, after his friend and brother-in-law Brian O'Conner, and they celebrate."
2013,"Canyons, TheThe Canyons",American,Paul Schrader,"Lindsay Lohan, James Deen, Nolan Gerard Funk, Amanda Brooks, Tenille Houston, Gus Van Sant",erotic thriller,https://en.wikipedia.org/wiki/The_Canyons_(film),"When Christian, an L.A. trust-fund kid with casual ties to Hollywood, learns of a secret affair between his girlfriend Tara, a former actress, and the lead of his film project, he spirals out of control, and his cruel mind games escalate into an act of bloody violence.[3]"
2007,Itty Bitty Titty Committee,American,Jamie Babbit,Melonie Diaz,comedy,https://en.wikipedia.org/wiki/Itty_Bitty_Titty_Committee,"Anna has been rejected by her college, her girlfriend broke up with her, and her big sister is getting married. She meets Sadie, who invites her to join Clits In Action, or C(i)A, a radical Third-wave feminist group. Anna soon gets in touch with her political side.[2] She takes part in illegal activism with the group and becomes more aggressive in her daily life.
Anna starts falling for Sadie, who has been involved for years with an older woman named Courtney. Courtney works with a more mainstream feminist organization and disagrees with the C(i)A's method of creating awareness through public art, which usually involves vandalism.
The group travels to take part in a gay marriage protest – instead of being for or against it, they argue that marriage is the wrong goal, as it is an institution rooted in sexism. Despite being warned by another member of the C(i)A, Meat, that Sadie uses people, Anna shares a night of passion with her while they stay in a hotel. At the rally the next day, the outspoken Shulamith ends up nearly coming to blows with a protester. The fight is caught by a local news crew and the group's message is misconstrued as violent and homophobic. Meat also reveals that their website – which they considered the center of their activism – has not received hits from anyone besides themselves.
C(i)A attempts to have a meeting at Courtney's home, but personal conflicts come to a head. Anna believes Sadie is going to leave Courtney to be with her, but Sadie remains dependent on her partner. Meat and Shulamith announce that they're giving up on the group, Sadie stays behind with Courtney, and Aggie (a transgender man who's part of the C(i)A) comforts Anna, who is heartbroken over Sadie's rejection and the loss of the C(i)A. They end up partying together and having a one-night stand. In the morning, Aggie has prepared breakfast and procured a flower for Anna, who only considers him a friend. Sadie arrives to talk about what happened the night before. Anna tries to explain that her night with Aggie meant nothing. He overhears and is deeply hurt. Sadie leaves and Anna finds herself truly alone.
In an attempt to fix things, Anna formulates a master plan to get C(i)A national attention. Meat and Shulamith like her idea, but insist she must make things right with Aggie. Anna apologizes, Aggie forgives her, and the four carry out the plan, without Sadie.
Anna attends her sister's wedding, bringing joy to her family, but leaves early to execute her part of the plan – sneaking into the studio of a popular talk show with Aggie and Meat. Courtney is appearing on the show to argue about the appropriateness of a celebration over the (arbitrary) anniversary of the construction of the Washington Monument, which she feels is a distraction from real issues. When the host requests a live shot of the monument, the C(i)A feeds their footage in. With the expert help of one of Shulamith's lovers, Calvin (who was discharged from the military for being a lesbian under Don't Ask Don't Tell), and Meat's prowess with sculpture, a giant phallus has been erected atop the Washington Monument and is blown off with explosives. Back at the studio, Aggie pulls the fire alarm and the group escapes.
In the getaway car waiting for Anna, she is surprised to see Sadie, who has finally broken it off with Courtney. Sadie apologizes for her behavior, and the two agree to just be friends, but then kiss. Through text in the epilogue, it is revealed that Shulamith and Calvin volunteered to take the fall for the explosion, and received a reduced sentence because no one was hurt. Aggie started hormone therapy, started a new feminist group for men and got a girlfriend. Meat's sculpture appearing on TV launched her art career. Courtney took the talk show host, Marcy, out to dinner after fleeing the building together. Marcy subsequently left her husband to move in with Courtney. Anna and Sadie remain together, and Anna now attends college, where she has created a group focused on positive body image called the Itty Bitty Titty Committee."
2014,The Outsider,American,Brian A. Miller,"Craig Fairbrass
James Caan
Shannon Elizabeth",crime drama,https://en.wikipedia.org/wiki/The_Outsider_(2014_film),"An investigation of a dead daughter begins when a military contractor Lex Walker (Craig Fairbrass) arrives in Los Angeles and he finds the body is not his daughter's. Lex Walker, a British mercenary battling in Afghanistan who drops everything to hurry to Los Angeles when he is informed that his daughter Samantha, who he has not seen in many years, has been found dead. When he arrives at the morgue to identify the body, he is for some reason unsurprised to discover that it is not hers. So he begins a one-man investigation into her whereabouts, trailed by the suspicious detective (Jason Patric) assigned to the case. He soon makes his way to Samantha's boss, Karl Schuster (James Caan), the millionaire CEO of a high-tech company who offers sympathy but little help. It quickly becomes obvious that Schuster is hiding something, since he displays no hesitation about shooting one of his henchmen to death in his own office. Aided by a sexy barmaid (Shannon Elizabeth) enticed by his offer of a $10,000 finder's fee, the take-no-prisoners Lex sets out getting to the bottom of the mystery, beating up or shooting the myriad human obstacles who get in his way. It all leads to his discovery of a massive identity-theft scheme engineered by Schuster about which Lex's very much alive daughter (Melissa Ordway) has the goods."
